source,id_str,text,created_at,retweet_count,in_reply_to_user_id_str,favorite_count,is_retweet
Twitter for iPhone,1268877713093414912,"RT @SenatorEnzi: For too long, the Clean Water Act has been abused and used to delay important energy infrastructure projects. @EPA's impor…",Fri Jun 05 12:09:56 +0000 2020,1977,,0,False
Twitter for iPhone,1268877676862935040,RT @BudgetGOP: TODAY @ 230pm - Confirmation Hearing for White House Budget Director - The Senate Budget Committee holds a confirmation hear…,Fri Jun 05 12:09:47 +0000 2020,1575,,0,False
Twitter for iPhone,1268877531458998274,"RT @EPWGOP: Chairman @SenJohnBarrasso: “Our bill is the right medicine for our roads &amp; our economy. It will help rural communities, it will…",Fri Jun 05 12:09:12 +0000 2020,1622,,0,False
Twitter for iPhone,1268877137852973056,RT @SenToomey: Caring for a loved one with Alzheimer's is difficult even in the best of times. If you or someone you know is suffering from…,Fri Jun 05 12:07:38 +0000 2020,1684,,0,False
Twitter for iPhone,1268876991224254465,"RT @SenToomey: Join me/@RepSmucker @ 10am for a roundtable on safely restarting PA’s economy. Joining us are Steve Massini - @PSHResearch,…",Fri Jun 05 12:07:03 +0000 2020,1476,,0,False
Twitter for iPhone,1268876936681607169,RT @SenToomey: I'm glad @realDonaldTrump is visiting Owens &amp; Minor today to highlight the great work of Pennsylvanians supplying the PPE ne…,Fri Jun 05 12:06:50 +0000 2020,2094,,0,False
Twitter for iPhone,1268876895317262336,"RT @SenToomey: As @zoom_us user, it’s exciting see them opening a new R+D office in Pittsburgh, adding several hundred jobs. I have no doub…",Fri Jun 05 12:06:41 +0000 2020,1435,,0,False
Twitter for iPhone,1268876582552305666,"RT @SenToomey: I am very grateful to all of those on the frontlines battling against the COVID-19 pandemic. To the doctors, nurses, hospita…",Fri Jun 05 12:05:26 +0000 2020,1486,,0,False
Twitter for iPhone,1268876420417310725,"RT @JohnBoozman: Arkansas children struggling with hunger during this public health crisis are benefiting from creative, flexible approache…",Fri Jun 05 12:04:47 +0000 2020,1560,,0,False
Twitter for iPhone,1268876368223391745,RT @JohnBoozman: I appreciated the opportunity to participate in today's @SenateVA hearing to conduct oversight of @DeptVetAffairs and get…,Fri Jun 05 12:04:35 +0000 2020,1525,,0,False
Twitter for iPhone,1268876323998572544,"RT @JohnBoozman: At yesterday's @SenateVA hearing, I pressed @DeptVetAffairs officials about the plan to reduce the backlog of #veterans wa…",Fri Jun 05 12:04:24 +0000 2020,1706,,0,False
Twitter for iPhone,1268875993093148673,RT @JerryMoran: Thank you to the thousands of people that have made this day possible. Today is another step forward down the path of explo…,Fri Jun 05 12:03:05 +0000 2020,1590,,0,False
Twitter for iPhone,1268875964748087299,"RT @JerryMoran: America has launched! Congratulations to NASA Astronauts Doug Hurley and Bob Behnken, @NASA and @SpaceX on a historic launc…",Fri Jun 05 12:02:59 +0000 2020,1735,,0,False
Twitter for iPhone,1268875927087386630,"RT @JerryMoran: It is encouraging to see Kansans standing up for what is right throughout our state. In Wichita, protests are not only rema…",Fri Jun 05 12:02:50 +0000 2020,1482,,0,False
Twitter for iPhone,1268875885664522240,RT @JerryMoran: Joined Hocker Grove Middle School to help distribute meals as part of the school lunch program. It is one of four sites wit…,Fri Jun 05 12:02:40 +0000 2020,1413,,0,False
Twitter for iPhone,1268875716407578624,RT @SenPatRoberts: Watch the speech I gave on the Senate floor last week to honor all who have fought for our great nation. #MemorialDay #S…,Fri Jun 05 12:02:00 +0000 2020,1482,,0,False
Twitter for iPhone,1268875603576578049,RT @SenPatRoberts: Master Sgt. David Royer is nothing short of a hero after taking action into his own hands when he stopped an active shoo…,Fri Jun 05 12:01:33 +0000 2020,2480,,0,False
Twitter for iPhone,1268875499998269443,RT @JohnBoozman: PPP has been critical to helping Arkansas small businesses weather this pandemic. Providing flexibility is a commonsense s…,Fri Jun 05 12:01:08 +0000 2020,1416,,0,False
Twitter for iPhone,1268875473070755840,RT @JohnBoozman: I welcome @HHSGov awarding another $2.5 million in federal coronavirus response funds to expand COVID-19 testing capacity…,Fri Jun 05 12:01:02 +0000 2020,1609,,0,False
